index,date,location,dguid,naics,uom,uom_scale,naics_code,total_assets,income_tax
236900,19-Oct,Canada,2016A000011124,"Agriculture, forestry, fishing and hunting [11]",Dollars,millions,1.3.1,202831,300
236960,19-Oct,Canada,2016A000011124,Oil and gas extraction and support activities,Dollars,millions,1.28.1,743337,-468
237020,19-Oct,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212],Dollars,millions,1.29.1,310862,511
237080,19-Oct,Canada,2016A000011124,Utilities [22],Dollars,millions,1.6.1,213552,153
237140,19-Oct,Canada,2016A000011124,Construction [23],Dollars,millions,1.7.1,438575,1184
237200,19-Oct,Canada,2016A000011124,Manufacturing [31-33],Dollars,millions,1.8.1,1116039,2516
237260,19-Oct,Canada,2016A000011124,Wholesale trade [41],Dollars,millions,1.9.1,527951,2283
237320,19-Oct,Canada,2016A000011124,Retail trade [44-45],Dollars,millions,1.10.1,342421,1180
237380,19-Oct,Canada,2016A000011124,Transportation and warehousing [48-49],Dollars,millions,1.11.1,499579,975
237440,19-Oct,Canada,2016A000011124,Information and cultural industries [51],Dollars,millions,1.12.1,293718,1338
237500,19-Oct,Canada,2016A000011124,Real estate and rental and leasing [53],Dollars,millions,1.13.1,924708,1612
237500,19-Jan,Canada,2016A000011124,Real estate and rental and leasing [53],Dollars,millions,1.13.1,876521,1090
237560,19-Oct,Canada,2016A000011124,"Professional, scientific and technical services [54]",Dollars,millions,1.14.1,296075,1553
237620,19-Oct,Canada,2016A000011124,"Administrative and support, waste management and remediation services [56]",Dollars,millions,1.16.1,122576,344
237680,19-Oct,Canada,2016A000011124,"Educational, health care and social assistance services",Dollars,millions,1.30.1,141868,993
237740,19-Oct,Canada,2016A000011124,"Arts, entertainment and recreation [71]",Dollars,millions,1.19.1,31064,95
237800,19-Oct,Canada,2016A000011124,Accommodation and food services [72],Dollars,millions,1.20.1,89282,272
237860,19-Oct,Canada,2016A000011124,"Repair, maintenance and personal services",Dollars,millions,1.21.1,42714,167
237920,19-Oct,Canada,2016A000011124,"Total, finance and insurance industries (excluding other funds and financial vehicles)",Dollars,millions,1.22.1,7584073,5626
237140,21-Oct,Canada,2016A000011124,Construction [23],Dollars,millions,1.7.1,212130,2900
237980,19-Oct,Canada,2016A000011124,Depository credit intermediation [5221],Dollars,millions,1.31.1,4850849,2692
238040,19-Oct,Canada,2016A000011124,Activities related to credit intermediation [5223],Dollars,millions,1.32.1,118610,89
238100,19-Oct,Canada,2016A000011124,Non-depository credit intermediation [5222],Dollars,millions,1.24.1,350345,333
238160,19-Oct,Canada,2016A000011124,"Securities, commodity contracts, and other financial investments and related activities [523]",Dollars,millions,1.33.1,1155143,1475
238220,19-Oct,Canada,2016A000011124,Insurance carriers and related activities [524],Dollars,millions,1.34.1,1109125,1037
